n=500, m=1000, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 21.92 seconds
n=500, m=1250, GSAT Success: 0.0%, WalkSAT Success: 99.5%, Time: 35.32 seconds
n=500, m=1500, GSAT Success: 0.0%, WalkSAT Success: 1.0%, Time: 116.51 seconds
n=500, m=1550, GSAT Success: 0.0%, WalkSAT Success: 0.5%, Time: 120.91 seconds
n=500, m=1600, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 124.58 seconds
n=500, m=1650, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 128.37 seconds
n=500, m=1700, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 130.23 seconds
n=500, m=1750, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 133.43 seconds
n=500, m=1800, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 138.57 seconds
n=500, m=1850, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 141.68 seconds
n=500, m=1900, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 154.30 seconds
n=500, m=1950, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 150.94 seconds
n=500, m=2000, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 4583.46 seconds
n=500, m=2050, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 155.79 seconds
n=500, m=2100, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 158.59 seconds
n=500, m=2150, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 161.72 seconds
n=500, m=2200, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 166.22 seconds
n=500, m=2250, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 180.71 seconds
n=500, m=2500, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 193.24 seconds
